"city","year","weekofyear","total_cases"
"sj",2008,18,12
"sj",2008,19,17
"sj",2008,20,17
"sj",2008,21,18
"sj",2008,22,20
"sj",2008,23,23
"sj",2008,24,20
"sj",2008,25,24
"sj",2008,26,26
"sj",2008,27,29
"sj",2008,28,28
"sj",2008,29,32
"sj",2008,30,35
"sj",2008,31,37
"sj",2008,32,37
"sj",2008,33,40
"sj",2008,34,45
"sj",2008,35,46
"sj",2008,36,48
"sj",2008,37,48
"sj",2008,38,55
"sj",2008,39,53
"sj",2008,40,58
"sj",2008,41,56
"sj",2008,42,64
"sj",2008,43,60
"sj",2008,44,67
"sj",2008,45,62
"sj",2008,46,71
"sj",2008,47,67
"sj",2008,48,71
"sj",2008,49,68
"sj",2008,50,69
"sj",2008,51,66
"sj",2008,52,62
"sj",2009,1,58
"sj",2009,2,63
"sj",2009,3,62
"sj",2009,4,55
"sj",2009,5,54
"sj",2009,6,46
"sj",2009,7,43
"sj",2009,8,38
"sj",2009,9,36
"sj",2009,10,41
"sj",2009,11,32
"sj",2009,12,32
"sj",2009,13,27
"sj",2009,14,28
"sj",2009,15,25
"sj",2009,16,24
"sj",2009,17,21
"sj",2009,18,24
"sj",2009,19,22
"sj",2009,20,21
"sj",2009,21,17
"sj",2009,22,20
"sj",2009,23,17
"sj",2009,24,19
"sj",2009,25,18
"sj",2009,26,24
"sj",2009,27,22
"sj",2009,28,23
"sj",2009,29,24
"sj",2009,30,27
"sj",2009,31,29
"sj",2009,32,31
"sj",2009,33,32
"sj",2009,34,35
"sj",2009,35,37
"sj",2009,36,40
"sj",2009,37,44
"sj",2009,38,48
"sj",2009,39,50
"sj",2009,40,50
"sj",2009,41,52
"sj",2009,42,57
"sj",2009,43,57
"sj",2009,44,62
"sj",2009,45,62
"sj",2009,46,64
"sj",2009,47,64
"sj",2009,48,64
"sj",2009,49,67
"sj",2009,50,69
"sj",2009,51,70
"sj",2009,52,67
"sj",2010,53,66
"sj",2010,1,66
"sj",2010,2,64
"sj",2010,3,65
"sj",2010,4,58
"sj",2010,5,62
"sj",2010,6,53
"sj",2010,7,54
"sj",2010,8,49
"sj",2010,9,58
"sj",2010,10,51
"sj",2010,11,56
"sj",2010,12,46
"sj",2010,13,53
"sj",2010,14,42
"sj",2010,15,51
"sj",2010,16,42
"sj",2010,17,51
"sj",2010,18,44
"sj",2010,19,52
"sj",2010,20,46
"sj",2010,21,56
"sj",2010,22,48
"sj",2010,23,56
"sj",2010,24,46
"sj",2010,25,57
"sj",2010,26,50
"sj",2010,27,21
"sj",2010,28,61
"sj",2010,29,21
"sj",2010,30,51
"sj",2010,31,19
"sj",2010,32,63
"sj",2010,33,21
"sj",2010,34,54
"sj",2010,35,19
"sj",2010,36,62
"sj",2010,37,20
"sj",2010,38,57
"sj",2010,39,19
"sj",2010,40,67
"sj",2010,41,21
"sj",2010,42,63
"sj",2010,43,20
"sj",2010,44,69
"sj",2010,45,22
"sj",2010,46,67
"sj",2010,47,23
"sj",2010,48,78
"sj",2010,49,20
"sj",2010,50,68
"sj",2010,51,24
"sj",2011,52,73
"sj",2011,1,22
"sj",2011,2,68
"sj",2011,3,28
"sj",2011,4,78
"sj",2011,5,25
"sj",2011,6,72
"sj",2011,7,29
"sj",2011,8,82
"sj",2011,9,25
"sj",2011,10,78
"sj",2011,11,27
"sj",2011,12,88
"sj",2011,13,28
"sj",2011,14,74
"sj",2011,15,27
"sj",2011,16,83
"sj",2011,17,28
"sj",2011,18,68
"sj",2011,19,26
"sj",2011,20,79
"sj",2011,21,28
"sj",2011,22,66
"sj",2011,23,24
"sj",2011,24,71
"sj",2011,25,29
"sj",2011,26,68
"sj",2011,27,26
"sj",2011,28,68
"sj",2011,29,29
"sj",2011,30,59
"sj",2011,31,31
"sj",2011,32,57
"sj",2011,33,25
"sj",2011,34,47
"sj",2011,35,25
"sj",2011,36,48
"sj",2011,37,25
"sj",2011,38,39
"sj",2011,39,25
"sj",2011,40,42
"sj",2011,41,31
"sj",2011,42,35
"sj",2011,43,26
"sj",2011,44,37
"sj",2011,45,28
"sj",2011,46,26
"sj",2011,47,30
"sj",2011,48,29
"sj",2011,49,27
"sj",2011,50,22
"sj",2011,51,30
"sj",2012,52,26
"sj",2012,1,27
"sj",2012,2,21
"sj",2012,3,31
"sj",2012,4,22
"sj",2012,5,27
"sj",2012,6,19
"sj",2012,7,26
"sj",2012,8,23
"sj",2012,9,27
"sj",2012,10,17
"sj",2012,11,27
"sj",2012,12,19
"sj",2012,13,26
"sj",2012,14,15
"sj",2012,15,23
"sj",2012,16,18
"sj",2012,17,24
"sj",2012,18,17
"sj",2012,19,23
"sj",2012,20,19
"sj",2012,21,23
"sj",2012,22,18
"sj",2012,23,25
"sj",2012,24,21
"sj",2012,25,23
"sj",2012,26,22
"sj",2012,27,22
"sj",2012,28,22
"sj",2012,29,22
"sj",2012,30,23
"sj",2012,31,20
"sj",2012,32,25
"sj",2012,33,20
"sj",2012,34,26
"sj",2012,35,20
"sj",2012,36,28
"sj",2012,37,20
"sj",2012,38,29
"sj",2012,39,22
"sj",2012,40,34
"sj",2012,41,19
"sj",2012,42,36
"sj",2012,43,20
"sj",2012,44,38
"sj",2012,45,21
"sj",2012,46,37
"sj",2012,47,19
"sj",2012,48,40
"sj",2012,49,23
"sj",2012,50,41
"sj",2012,51,23
"sj",2013,1,44
"sj",2013,2,21
"sj",2013,3,43
"sj",2013,4,20
"sj",2013,5,50
"sj",2013,6,21
"sj",2013,7,48
"sj",2013,8,28
"sj",2013,9,50
"sj",2013,10,25
"sj",2013,11,49
"sj",2013,12,27
"sj",2013,13,53
"sj",2013,14,24
"sj",2013,15,52
"sj",2013,16,30
"sj",2013,17,54
"iq",2010,26,26
"iq",2010,27,50
"iq",2010,28,28
"iq",2010,29,55
"iq",2010,30,28
"iq",2010,31,49
"iq",2010,32,30
"iq",2010,33,49
"iq",2010,34,29
"iq",2010,35,45
"iq",2010,36,29
"iq",2010,37,48
"iq",2010,38,30
"iq",2010,39,46
"iq",2010,40,31
"iq",2010,41,44
"iq",2010,42,27
"iq",2010,43,38
"iq",2010,44,24
"iq",2010,45,40
"iq",2010,46,25
"iq",2010,47,33
"iq",2010,48,28
"iq",2010,49,32
"iq",2010,50,30
"iq",2010,51,27
"iq",2011,52,25
"iq",2011,1,29
"iq",2011,2,23
"iq",2011,3,25
"iq",2011,4,24
"iq",2011,5,25
"iq",2011,6,24
"iq",2011,7,22
"iq",2011,8,25
"iq",2011,9,23
"iq",2011,10,24
"iq",2011,11,20
"iq",2011,12,25
"iq",2011,13,19
"iq",2011,14,24
"iq",2011,15,19
"iq",2011,16,30
"iq",2011,17,19
"iq",2011,18,27
"iq",2011,19,19
"iq",2011,20,26
"iq",2011,21,18
"iq",2011,22,21
"iq",2011,23,18
"iq",2011,24,23
"iq",2011,25,19
"iq",2011,26,23
"iq",2011,27,19
"iq",2011,28,21
"iq",2011,29,19
"iq",2011,30,20
"iq",2011,31,20
"iq",2011,32,21
"iq",2011,33,24
"iq",2011,34,19
"iq",2011,35,27
"iq",2011,36,23
"iq",2011,37,29
"iq",2011,38,20
"iq",2011,39,30
"iq",2011,40,22
"iq",2011,41,35
"iq",2011,42,23
"iq",2011,43,33
"iq",2011,44,20
"iq",2011,45,35
"iq",2011,46,19
"iq",2011,47,36
"iq",2011,48,21
"iq",2011,49,42
"iq",2011,50,20
"iq",2011,51,43
"iq",2012,52,24
"iq",2012,1,46
"iq",2012,2,21
"iq",2012,3,47
"iq",2012,4,19
"iq",2012,5,50
"iq",2012,6,21
"iq",2012,7,52
"iq",2012,8,20
"iq",2012,9,51
"iq",2012,10,21
"iq",2012,11,54
"iq",2012,12,20
"iq",2012,13,55
"iq",2012,14,23
"iq",2012,15,59
"iq",2012,16,23
"iq",2012,17,57
"iq",2012,18,26
"iq",2012,19,58
"iq",2012,20,25
"iq",2012,21,62
"iq",2012,22,26
"iq",2012,23,64
"iq",2012,24,26
"iq",2012,25,63
"iq",2012,26,28
"iq",2012,27,64
"iq",2012,28,27
"iq",2012,29,64
"iq",2012,30,26
"iq",2012,31,64
"iq",2012,32,26
"iq",2012,33,60
"iq",2012,34,27
"iq",2012,35,60
"iq",2012,36,29
"iq",2012,37,61
"iq",2012,38,23
"iq",2012,39,58
"iq",2012,40,24
"iq",2012,41,57
"iq",2012,42,26
"iq",2012,43,52
"iq",2012,44,30
"iq",2012,45,53
"iq",2012,46,24
"iq",2012,47,48
"iq",2012,48,30
"iq",2012,49,43
"iq",2012,50,28
"iq",2012,51,41
"iq",2013,1,27
"iq",2013,2,38
"iq",2013,3,28
"iq",2013,4,37
"iq",2013,5,29
"iq",2013,6,31
"iq",2013,7,29
"iq",2013,8,31
"iq",2013,9,31
"iq",2013,10,30
"iq",2013,11,31
"iq",2013,12,29
"iq",2013,13,28
"iq",2013,14,28
"iq",2013,15,30
"iq",2013,16,28
"iq",2013,17,28
"iq",2013,18,24
"iq",2013,19,27
"iq",2013,20,26
"iq",2013,21,24
"iq",2013,22,27
"iq",2013,23,22
"iq",2013,24,20
"iq",2013,25,23
"iq",2013,26,19
